District,School Name,City,Report Period,Total Cases,Academic Year,Date Updated
Fairfield School District,Sherman School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Great Beginnings Montessori School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Stratfield School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,North Stratfield School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Jennings School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Osborn Hill School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Tomlinson Middle School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,The Southport School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Fairfield Woods Middle School,Fairfield,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Fairfield School District,Roger Ludlowe Middle School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Fairfield Ludlowe High School,Fairfield,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Fairfield School District,Fairfield Ludlowe High School,Fairfield,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Fairfield School District,Saint Catherine Academy,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Fairfield College-Preparatory,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Fairfield Warde High School,Fairfield,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Fairfield School District,Notre Dame Catholic High School,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Fairfield School District,Early Childhood Center,Fairfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,Union School,Unionville,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Farmington School District,University of Connecticut - Home Visiting,Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,Noah Wallace School,Farmington,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Farmington School District,West District School,Unionville,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,"The Farmington Academy, Inc.",Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,East Farms School,Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,West Woods Upper Elementary School,Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,Farmington Alternative High School,Unionville,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,Irving A. Robbins Middle School,Farmington,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Farmington School District,Farmington High School,Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,Miss Porter's School,Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,Farmington Collaborative PK,Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Franklin School District,Franklin Elementary School,North Franklin,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Franklin School District,Natchaug Hospital Green Valley School,Franklin,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Links Academy,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Buttonball Lane School,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Hebron Avenue School,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,PreK-Eastbury,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Hopewell School,South Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Naubuc School,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Gideon Welles School,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Nayaug Elementary School,South Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Glastonbury Transition Academy,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Smith Middle School,Glastonbury,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Glastonbury School District,Part-Time Vocational Agriculture Program,Glastonbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Glastonbury School District,Glastonbury High School,Glastonbury,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Glastonbury School District,Glastonbury High School,Glastonbury,08/26/2021 - 09/01/2021,6,2021-2022,9/2/2021
Granby School District,Wells Road Intermediate School,Granby,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Granby School District,Kelly Lane Primary School,Granby,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Granby School District,Granby Memorial Middle School,Granby,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Granby School District,Granby Memorial High School,Granby,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Greenwich Country Day,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Eagle Hill School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,"Abilis, Inc. - Greenwich",Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Cos Cob School,Cos Cob,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Greenwich Catholic,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Julian Curtiss School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Abilis,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Glenville School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Whitby School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Family Centers Preschool,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Hamilton Avenue School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Fusion Academy Greenwich,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,New Lebanon School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,North Mianus School,Riverside,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,North Street School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Old Greenwich School,Old Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Riverside School,Riverside,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Parkway School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Community Connections,Riverside,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,International School At Dundee,Riverside,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Carmel Academy,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Windrose,Riverside,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Gateway Preschool,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Family Centers -First Steps,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,"Family Centers Inc., Greenwich - Home Visiting",Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Central Middle School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Eastern Middle School,Riverside,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,The Greenwich Japanese School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Western Middle School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Greenwich High School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Brunswick School,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Convent of the Sacred Heart,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Greenwich School District,Greenwich Academy,Greenwich,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Griswold School District,Griswold Alternative School,Griswold,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Griswold School District,Griswold Preschool,Griswold,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Griswold School District,Griswold Elementary School,Griswold,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Griswold School District,Little Log School House,Griswold,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Griswold School District,Carelot Children's Center - Clubhouse,Griswold,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Griswold School District,TVCCA Little Learners Griswold,Griswold,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Griswold School District,Griswold Middle School,Griswold,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Griswold School District,Griswold Middle School,Griswold,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Griswold School District,Griswold High School,Griswold,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Griswold School District,Griswold High School,Griswold,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Groton School District,S. B. Butler School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Groton-Mystic Early Childhood Development Center,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Seabird Enterprises - Puffins Restaurant,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,New Beginnings Alternative Program,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Sacred Heart School-Groton,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Riverfront Children's Center,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Claude Chester School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,TVCCA - Groton Central Ave.,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
New London School District,The Lighthouse Voc-Ed Center Inc. - Community Campus,New London,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,TVCCA Groton ECE,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,The Arc Eastern Connecticut - Thomas Sullivan Employment Transition Center,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Virtual Learning Academy,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Transition Academy,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Groton Middle School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Mary Morrisson School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Charles Barnum School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Northeast Academy Elementary School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Catherine Kolnaski Magnet School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,West Side Middle School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Carl C. Cutler Middle School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Stonington Institute School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Groton School District,Robert E. Fitch High School,Groton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,Guilford Center for Children Inc.,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,Guilford Lakes School,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,Melissa Jones School,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,Calvin Leete School,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,A. W. Cox School,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,A. Baldwin Middle School,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,E. C. Adams Middle School,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Guilford School District,Guilford High School,Guilford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Shepherd Glen School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Saint Rita School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Sleeping Giant Day Care,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Church Street School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Cedarhurst School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Dunbar Hill School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Tender Care Learning Center/Apple Tree,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Whitney Hall School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,The Passage Program at Cedarhurst School (Yale University),Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Helen Street School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Hamden Collaborative Learning Center,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,CCCP: Odali,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Hamden Transition Academy @ SCSU (AACPB),New Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Laurel Oaks Adventist School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Alice Peck IIC,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Harris & Tucker Seventh Day Adventist School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Bear Path IIC,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Spring Glen School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Ridge Hill School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Bear Path School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Church Street IIC,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,West Woods School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Dunbar Hill IIC,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Helen Street IIC,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Ridge Hill IIC,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,West Woods IIC,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Intensive Support Classroom,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Hamden Middle School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Hamden High School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Hamden Hall School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Lorraine D. Foster Day School,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Sacred Heart Academy-Hamden,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hamden School District,Alice Peck Learning Center,Hamden,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hampton School District,Hampton Elementary School,Hampton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hampton School District,Greenwood Sudbury School,Hampton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL 1 - Milner School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,SAND School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Opportunity Academy-Hartford,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL 2 - Kennelly School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Locust Early Care & Education Community Renewal Team (CRT),Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Grace S. Webb School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Pre-K Integrated - Burr School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,ECE Grace Street Center - Community Renewal Team (CRT),Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,"Options Employment and Educational Services, LLC - Transitional Services",Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Pre-K Integrated - Parkville School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,CRT-Heritage Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Pre-K Integrated - Naylor School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Montessori Magnet at Batchelder School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Job Corps Academy CDC,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Pre-K Integrated - West Middle School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Burns Latino Studies Academy,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Hartford Area S.D.A. School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,CRT - Children's Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL Pre-K - Naylor School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Bellizzi School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Saint Joseph-Cathedral School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL Pre-K - Rawson School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,M. D. Fox School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Hartford Christian School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,New Visions,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Environmental Sciences Magnet at Hooker School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,HPS Satellite Program,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Kennelly School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Grace Academy,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Kinsella Magnet School of Performing Arts,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,McDonough Middle School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Thomas Ritter Center - Community Renewal Team (CRT),Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Hartford PreKindergarten Magnet School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Douglas Street Early Care & Education -Community Renewal Team (CRT),Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Naylor/CCSU Leadership Academy,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Parkville Community School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,"M. L. King, Jr. Middle School",Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,OFYC-Burns ELC,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Rawson School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,OFYC-Simpson Waverly,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,OFYC-Metzner ELC,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Milner Middle School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Webster Micro Society Magnet School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Hyland Early Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Eagle House Education Program,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,West Middle School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,High Road School of Hartford High,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Wish Museum School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,High Road School of Hartford-Primary,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Burr School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Capitol Child Development Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Crayons & Numbers Day Care,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,STEM Magnet at Annie Fisher School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Hartford Neighborhood Ctrs-Mitchell House,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Betances Learning Lab Magnet School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,SS Cyril & Methodius School Readiness Program,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Sanchez School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Paraiso Infantil,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Expeditionary Learning Academy at Moylan School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Richard A. Battles Day Care Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,"Breakthrough Magnet School, South",Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,The Right Place School Readiness Child & Family Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,"Breakthrough Magnet School, North",Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,School for Young Children on Asylum Hill,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Global Communications Academy,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Trinity College Comm Child Center- Campus Care,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Montessori Magnet at Fisher School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Women's League Child Development Center Inc,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Betances STEM Magnet School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Our Lady of Fatima Daycare,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,YWCA-Growing Tree,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Renzulli Gifted and Talented Academy,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,OFYC-Clark ELC,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Early Childhood Development Center (ECDC),Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,YWCA Elmwood Early Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Little Angels Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Central Baptist Day Care - Mt. Olive,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL 1 - Rawson School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Warburton Community Day Care Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Pequenin Children's Multicultural Readiness Academy,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,RISE - West Middle School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL 1 - Burns School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Salvation Army Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL 1 - HPHS,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGoal 2 - Bulkeley High School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Covenant Preparatory School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Trinity Academy Hartford,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Hartford Magnet Trinity College Academy,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Wilson-Gray Early Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Asylum Hill Early Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,iGOAL 1 - Naylor School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Trinity College Community Child Center Life Science,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Kings Chapel Early Care & Education Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,RISE - M.D. Fox School,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Village Early Childhood Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,CRT-Sigourney Mews Early Learning Center,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
